sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,label
0.0166,0.0108,0.001,0.001,0.001,9
0.0156,0.0108,0.001,0.001,0.001,9
0.0156,0.0117,0.001,0.001,0.001,9
0.0156,0.0655,0.001,0.0,0.001,9
0.0166,0.0264,0.002,0.001,0.001,9
0.0156,0.0,0.001,0.001,0.001,9
0.0156,0.0,0.001,0.001,0.001,9
0.0147,0.0,0.001,0.001,0.001,9
0.0166,0.0029,0.001,0.001,0.001,9
0.0166,0.0225,0.001,0.0,0.001,9
0.0156,0.0371,0.001,0.001,0.001,9
0.0166,0.0088,0.001,0.001,0.001,9
0.0166,0.0704,0.001,0.001,0.001,9
0.0166,0.0821,0.001,0.001,0.001,9
0.0166,0.0929,0.001,0.001,0.001,9
0.0156,0.1046,0.002,0.001,0.001,9
0.0156,0.0088,0.001,0.001,0.001,9
0.0166,0.085,0.002,0.001,0.001,9
0.0156,0.0108,0.001,0.001,0.001,9
0.0166,0.0108,0.001,0.0,0.001,9
0.0156,0.0098,0.001,0.001,0.001,9
0.0137,0.0098,0.002,0.001,0.001,9
0.0137,0.0108,0.001,0.001,0.001,9
0.0147,0.0098,0.001,0.001,0.001,9
0.0147,0.0098,0.001,0.001,0.001,9
0.0147,0.0088,0.001,0.001,0.0,9
0.0127,0.0078,0.001,0.001,0.001,9
0.0108,0.0,0.002,0.001,0.001,9
0.001,0.0088,0.0049,0.0039,0.002,11
0.001,0.0088,0.0039,0.0049,0.001,11
0.001,0.0088,0.0039,0.0049,0.001,11
0.001,0.0088,0.0049,0.0049,0.002,11
0.001,0.0088,0.0049,0.0039,0.002,11
0.001,0.0088,0.0049,0.0049,0.002,11
0.001,0.0078,0.0049,0.0039,0.002,11
0.001,0.0078,0.0049,0.0039,0.002,11
0.0,0.0078,0.0039,0.0039,0.002,11
0.0,0.0088,0.0029,0.0029,0.002,11
0.001,0.0088,0.0029,0.0029,0.002,11
0.001,0.0078,0.0039,0.0039,0.002,11
0.001,0.0088,0.0039,0.0039,0.002,11
0.001,0.0088,0.0039,0.0039,0.0029,11
0.001,0.0088,0.0049,0.0029,0.002,11
0.001,0.0108,0.0039,0.0029,0.0029,11
0.0,0.0108,0.0049,0.0029,0.0039,11
0.001,0.0108,0.0049,0.0029,0.0039,11
0.001,0.0108,0.0049,0.0029,0.0039,11
0.0,0.0108,0.0049,0.0029,0.0039,11
0.001,0.0098,0.0049,0.0029,0.0039,11
0.0,0.0098,0.0049,0.0029,0.0039,11
0.0,0.0098,0.0049,0.0029,0.0039,11
0.001,0.0098,0.0049,0.0029,0.0039,11
0.0,0.0108,0.0049,0.0029,0.0029,11
0.001,0.0098,0.0049,0.0029,0.0029,11
0.0,0.0098,0.0039,0.002,0.0029,11
0.001,0.0098,0.0049,0.002,0.0029,11
0.001,0.0098,0.0039,0.0029,0.0039,11
0.001,0.0098,0.0039,0.0029,0.0029,11
0.001,0.0098,0.0039,0.0029,0.0039,11
0.0,0.0108,0.0039,0.0029,0.0039,11
0.001,0.0098,0.0039,0.002,0.0029,11
0.0,0.0098,0.0049,0.002,0.0029,11
0.001,0.0098,0.0039,0.002,0.0039,11
0.001,0.0098,0.0039,0.002,0.0029,11
0.001,0.0098,0.0039,0.002,0.0039,11
0.001,0.0098,0.0039,0.002,0.0039,11
0.0,0.0078,0.0029,0.002,0.0039,11
0.0,0.0098,0.0039,0.001,0.0029,11
0.001,0.0098,0.0039,0.002,0.0039,11
0.0,0.0108,0.0029,0.002,0.0029,11
0.0,0.0108,0.0723,0.0078,0.001,10
0.0039,0.0098,0.001,0.0088,0.001,10
0.0039,0.0088,0.0,0.0078,0.001,10
0.0049,0.0088,0.0,0.0068,0.001,10
0.0049,0.0108,0.0098,0.0088,0.0,10
0.0049,0.0078,0.0215,0.0078,0.001,10
0.0059,0.0078,0.0332,0.0088,0.001,10
0.0049,0.0078,0.0411,0.0068,0.001,10
0.0059,0.0088,0.0479,0.0059,0.001,10
0.0059,0.0049,0.0508,0.0059,0.001,10
0.0059,0.0078,0.0547,0.0078,0.001,10
0.0059,0.0088,0.0577,0.0078,0.001,10
0.0049,0.0088,0.1026,0.0078,0.001,10
0.0059,0.0088,0.1339,0.0078,0.001,10
0.0059,0.0088,0.1457,0.0059,0.001,10
0.0068,0.0078,0.1378,0.0068,0.001,10
0.0059,0.0068,0.13,0.0068,0.001,10
0.0049,0.0068,0.1163,0.0068,0.001,10
0.0049,0.0059,0.1075,0.0049,0.001,10
0.0049,0.0059,0.0948,0.0059,0.001,10
0.0039,0.0059,0.089,0.0049,0.001,10
0.0039,0.0059,0.087,0.0049,0.001,10
0.0039,0.0059,0.0802,0.0049,0.001,10
0.0039,0.0049,0.0156,0.0049,0.001,10
0.0029,0.0049,0.0,0.0039,0.001,10
0.0,0.0068,0.0029,0.0049,0.0,10
0.0,0.0068,0.0186,0.0059,0.001,10
0.0772,0.0078,0.0411,0.0059,0.001,10
0.1261,0.0068,0.0567,0.0059,0.001,10
0.0059,0.0068,0.0753,0.0049,0.001,10
0.0039,0.0068,0.1437,0.0068,0.001,10
0.0137,0.0068,0.1388,0.0078,0.001,10
0.002,0.0068,0.1202,0.0078,0.001,10
0.0049,0.0078,0.1017,0.0068,0.001,10
0.0,0.0068,0.088,0.0068,0.001,10
0.1848,0.0078,0.0919,0.0078,0.001,10
0.1163,0.0078,0.0547,0.0068,0.001,10
0.0127,0.0059,0.0117,0.0039,0.001,10
0.0,0.0068,0.0,0.0059,0.001,10
0.0,0.0068,0.0049,0.0049,0.001,10
0.0196,0.0068,0.0078,0.0059,0.001,10
0.0332,0.0068,0.0117,0.0049,0.001,10
0.042,0.0068,0.0039,0.0029,0.001,10
0.0039,0.0068,0.0039,0.0068,0.001,10
0.0039,0.0068,0.0049,0.0068,0.001,10
0.0039,0.0068,0.0039,0.0078,0.001,10
